ACURACY DataSet\Algorithm,C99_20_9_false_T,C99_20_9_true_T,C99_20_11_false_T,C99_20_11_true_T,C99_40_9_false_T,C99_40_9_true_T,C99_40_11_false_T,C99_40_11_true_T,C99_60_9_false_T,C99_60_9_true_T,C99_60_11_false_T,C99_60_11_true_T,C99_80_9_false_T,C99_80_9_true_T,C99_80_11_false_T,C99_80_11_true_T,C99_100_9_false_T,C99_100_9_true_T,C99_100_11_false_T,C99_100_11_true_T
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.705882,0.705882,0.705882,0.705882,0.529412,0.529412,0.529412,0.529412,0.411765,0.529412,0.411765,0.411765,0.470588,0.470588,0.352941,0.470588,0.352941,0.352941,0.352941,0.352941
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.666667,0.666667,0.666667,0.666667,0.708333,0.625000,0.708333,0.708333,0.666667,0.750000,0.666667,0.750000,0.541667,0.625000,0.541667,0.625000,0.416667,0.416667,0.416667,0.416667
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.777778,0.555556,0.555556,0.555556,0.555556,0.333333,0.333333,0.333333,0.333333
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.645161,0.580645,0.709677,0.709677,0.612903,0.612903,0.612903,0.677419,0.483871,0.612903,0.548387,0.612903,0.451613,0.451613,0.451613,0.451613,0.258065,0.258065,0.258065,0.258065
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.680000,0.680000,0.680000,0.680000,0.560000,0.560000,0.560000,0.560000,0.480000,0.480000,0.480000,0.480000,0.440000,0.440000,0.440000,0.440000,0.320000,0.320000,0.320000,0.320000
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.739130,0.826087,0.826087,0.826087,0.521739,0.695652,0.608696,0.695652,0.434783,0.608696,0.521739,0.608696,0.391304,0.478261,0.391304,0.478261,0.260870,0.260870,0.260870,0.260870
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.235294,0.235294,0.235294,0.235294,0.294118,0.411765,0.294118,0.411765,0.529412,0.529412,0.529412,0.529412,0.705882,0.705882,0.705882,0.705882,0.823529,0.823529,0.823529,0.823529
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.440000,0.440000,0.440000,0.440000,0.640000,0.640000,0.640000,0.640000,0.560000,0.640000,0.560000,0.640000,0.600000,0.600000,0.600000,0.600000,0.640000,0.640000,0.640000,0.640000
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.400000,0.400000,0.400000,0.400000,0.600000,0.600000,0.600000,0.600000,0.800000,0.800000,0.800000,0.800000
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.500000,0.625000,0.562500,0.625000,0.625000,0.625000,0.687500,0.625000,0.656250,0.718750,0.718750,0.718750,0.656250,0.656250,0.718750,0.593750,0.500000,0.500000,0.500000,0.500000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.269231,0.269231,0.269231,0.269231,0.423077,0.423077,0.423077,0.423077,0.538462,0.538462,0.538462,0.538462,0.615385,0.692308,0.615385,0.692308,0.730769,0.730769,0.730769,0.730769
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.615385,0.307692,0.615385,0.307692,0.538462,0.538462,0.538462,0.538462,0.576923,0.730769,0.576923,0.730769,0.653846,0.653846,0.653846,0.730769,0.538462,0.538462,0.538462,0.538462
