PRECISION DataSet\Algorithm,TT_20_3,TT_20_6,TT_20_9,TT_20_12,TT_30_3,TT_30_6,TT_30_9,TT_30_12,TT_40_3,TT_40_6,TT_40_9,TT_40_12,TT_50_3,TT_50_6,TT_50_9,TT_50_12,TT_60_3,TT_60_6,TT_60_9,TT_60_12,C99_20_9_false,C99_20_9_true,C99_20_11_false,C99_20_11_true,C99_40_9_false,C99_40_9_true,C99_40_11_false,C99_40_11_true,C99_60_9_false,C99_60_9_true,C99_60_11_false,C99_60_11_true,C99_80_9_false,C99_80_9_true,C99_80_11_false,C99_80_11_true,C99_100_9_false,C99_100_9_true,C99_100_11_false,C99_100_11_true
Fabio/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.375000,0.384615,0.416667,0.400000,0.375000,0.428571,0.500000,0.333333,0.375000,0.416667,0.400000,0.333333,0.352941,0.333333,0.454545,0.375000,0.307692,0.444444,0.500000,0.500000,0.666667,0.333333,0.666667,0.333333,0.500000,0.500000,0.500000,0.500000,0.400000,0.500000,0.300000,0.500000,0.384615,0.384615,0.384615,0.384615,0.352941,0.352941,0.352941,0.352941
Fabio/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.352941,0.461538,0.600000,0.714286,0.357143,0.545455,0.600000,0.666667,0.400000,0.500000,0.500000,0.428571,0.375000,0.500000,0.454545,0.285714,0.375000,0.444444,0.500000,0.600000,0.500000,1.000000,0.500000,1.000000,0.500000,0.875000,0.500000,0.875000,0.538462,0.692308,0.538462,0.692308,0.470588,0.529412,0.470588,0.529412,0.409091,0.409091,0.409091,0.409091
Fabio/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.428571,0.428571,0.600000,0.500000,0.428571,0.428571,0.500000,0.500000,0.428571,0.333333,0.666667,0.666667,0.428571,0.750000,0.666667,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,0.750000,0.750000,0.750000,0.600000,0.600000,0.600000,0.600000,0.428571,0.428571,0.428571,0.428571
Fabio/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.238095,0.277778,0.266667,0.333333,0.263158,0.277778,0.294118,0.416667,0.263158,0.294118,0.250000,0.363636,0.263158,0.294118,0.312500,0.384615,0.263158,0.333333,0.384615,0.300000,0.250000,0.750000,0.250000,0.250000,0.333333,0.444444,0.333333,0.555556,0.333333,0.333333,0.333333,0.333333,0.300000,0.300000,0.300000,0.300000,0.240000,0.240000,0.240000,0.240000
Fabio/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.318182,0.384615,0.416667,0.444444,0.368421,0.428571,0.625000,0.500000,0.421053,0.500000,0.500000,0.666667,0.380952,0.500000,0.600000,0.714286,0.444444,0.538462,0.400000,0.666667,0.250000,0.250000,0.250000,0.250000,0.444444,0.444444,0.555556,0.555556,0.500000,0.428571,0.500000,0.357143,0.421053,0.368421,0.421053,0.368421,0.333333,0.333333,0.333333,0.333333
Fabio/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.250000,0.285714,0.250000,0.300000,0.285714,0.266667,0.363636,0.333333,0.250000,0.307692,0.300000,0.333333,0.285714,0.222222,0.333333,0.285714,0.250000,0.166667,0.222222,0.285714,0.000000,0.333333,0.000000,0.333333,0.285714,0.285714,0.428571,0.285714,0.300000,0.300000,0.300000,0.300000,0.214286,0.214286,0.214286,0.214286,0.222222,0.222222,0.222222,0.222222
Gustavo/Ata 29 - 25a Reunião Odinária PPGCCS.txt.csv,0.812500,0.785714,0.750000,0.818182,0.812500,0.769231,0.727273,0.777778,0.812500,0.769231,0.727273,0.777778,0.823529,0.769231,0.818182,0.777778,0.785714,0.800000,0.888889,0.888889,0.666667,0.666667,0.666667,0.666667,0.666667,0.833333,0.666667,0.833333,0.700000,0.800000,0.700000,0.800000,0.769231,0.846154,0.769231,0.846154,0.823529,0.823529,0.823529,0.823529
Gustavo/Ata 36 - 31a Reunião Odinária PPGCCS.txt.csv,0.588235,0.538462,0.600000,0.714286,0.571429,0.727273,0.600000,0.666667,0.600000,0.714286,0.750000,0.571429,0.625000,0.583333,0.545455,0.428571,0.562500,0.500000,0.625000,0.600000,0.750000,1.000000,0.750000,1.000000,0.750000,0.875000,0.750000,0.875000,0.692308,0.846154,0.692308,0.769231,0.647059,0.705882,0.647059,0.647059,0.636364,0.636364,0.636364,0.636364
Gustavo/Ata 35 - 5a Reunião Extraodinária PPGCCS.txt.csv,0.857143,0.857143,0.800000,0.750000,0.857143,0.857143,0.750000,0.750000,0.857143,0.833333,0.666667,0.666667,0.857143,0.750000,0.666667,0.750000,0.833333,0.833333,0.750000,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,1.000000,0.750000,1.000000,0.800000,1.000000,0.800000,1.000000,0.857143,0.857143,0.857143,0.857143
Gustavo/Ata 33 - 29a Reunião Odinária PPGCCS.txt.csv,0.428571,0.444444,0.466667,0.500000,0.421053,0.444444,0.470588,0.583333,0.473684,0.470588,0.375000,0.545455,0.473684,0.470588,0.500000,0.538462,0.473684,0.466667,0.615385,0.400000,0.750000,1.000000,0.750000,0.250000,0.666667,0.666667,0.666667,0.666667,0.533333,0.600000,0.533333,0.533333,0.500000,0.500000,0.500000,0.500000,0.440000,0.440000,0.440000,0.440000
Gustavo/Ata 30 - 26a Reunião Odinária PPGCCS.txt.csv,0.695652,0.615385,0.583333,0.666667,0.736842,0.714286,0.625000,0.666667,0.750000,0.666667,0.600000,0.666667,0.714286,0.714286,0.800000,0.714286,0.777778,0.769231,0.700000,0.833333,0.500000,0.500000,0.500000,0.500000,0.666667,0.666667,0.666667,0.666667,0.666667,0.733333,0.666667,0.666667,0.700000,0.750000,0.700000,0.700000,0.720000,0.720000,0.720000,0.720000
Gustavo/Ata 32 - 28a Reunião Odinária PPGCCS.txt.csv,0.500000,0.529412,0.500000,0.454545,0.562500,0.500000,0.583333,0.444444,0.500000,0.428571,0.700000,0.750000,0.529412,0.545455,0.555556,0.285714,0.473684,0.384615,0.444444,0.571429,0.333333,0.666667,0.333333,0.666667,0.571429,0.714286,0.571429,0.714286,0.500000,0.500000,0.500000,0.500000,0.437500,0.500000,0.437500,0.500000,0.450000,0.450000,0.450000,0.450000
